,n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BCSTDLIN,best_BLINDEXP,indel_rate
count,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0
mean,36.64331210191083,137.12738853503186,3.1353796157521807,2.0885736689842505,0.01618403016976036,0.10394227925655511,0.10318627245611339,2.847955109538606,3.584370648900524,0.3206833700876944,-22.46970790232323,9.151528199771642,52.283508014445545,0.005709083281861391,39.52769041625619,0.9745222929936306,0.025477707006369428,0.2071285517126685
std,14.499342486795872,52.58896322187688,0.8305619192193306,0.6703143292238553,0.01016903009162641,0.05971740779751944,0.05155748291946174,0.9925082525763794,1.2802120503412502,0.15999663168452802,19.763499202356716,5.588254408133165,25.680386373923866,0.04209098617587005,22.702036323783123,0.15807514384747776,0.15807514384747776,0.10117977072142174
min,20.0,36.0,1.6291227704933429,0.7638500133270336,4.337479678345594e-06,0.0034750296192619795,0.0046401261338042815,1.0633305009293614,1.2954252495658287,0.06795418849723883,-89.78272626882304,1.1373583770088105,20.93271230326561,0.0,-1.8857949823838414,0.0,0.0,0.018933783786964788
25%,26.0,100.0,2.562605296592792,1.5278794823163835,0.007329124930570106,0.05887572484147988,0.0684781687425687,2.0978633128326556,2.576616921381384,0.18929949959197018,-35.60406051244999,3.8721612632258906,27.161701807385157,0.0,21.515908236257022,1.0,0.0,0.13416815360606282
50%,33.0,131.0,3.0829415917286394,2.0139798301605825,0.014394438077645122,0.09566415108694117,0.09747378116821717,2.8138823411076643,3.5044031578169115,0.29892999964977224,-19.505193927827126,7.801649753632327,48.70474827913179,0.0,36.038102299956805,1.0,0.0,0.19931658100719288
75%,44.0,171.0,3.7330258584098055,2.6967483798748466,0.025602868498296426,0.14397916551427656,0.13188140632553388,3.510384353551958,4.43042681782355,0.42288866948636744,-6.124788507961384,13.815052840253225,75.15034464474653,0.0,54.040144247504394,1.0,0.0,0.26523695878540365
max,93.0,271.0,5.1088627200442,3.402614673897123,0.03739434767778208,0.25789483638053134,0.25841322769281194,5.555908213696733,7.104144723734493,0.8125563420424409,9.23080146831106,21.062755921057025,99.21970224645591,0.412859176521501,104.98057466420582,1.0,1.0,0.4465860202905346
